Time,Energy [kW],Temp,Humidity
1451624400,0.932833333,36.14,0.62
1451624401,0.934333333,36.14,0.62
1451624402,0.931816667,36.14,0.62
1451624403,1.02205,36.14,0.62
1451624404,1.1394,36.14,0.62
1451624405,1.391866667,36.14,0.62
1451624406,1.366216667,36.14,0.62
1451624407,1.4319,36.14,0.62
1451624408,1.6273,36.14,0.62
1451624409,1.735383333,36.14,0.62
1451624410,1.585083333,36.14,0.62
1451624411,1.510316667,36.14,0.62
1451624412,1.459866667,36.14,0.62
1451624413,0.840583333,36.14,0.62
1451624414,0.7032,36.14,0.62
1451624415,0.571883333,36.14,0.62
1451624416,0.485733333,36.14,0.62
1451624417,0.523166667,36.14,0.62
1451624418,0.5362,36.14,0.62
1451624419,0.53415,36.14,0.62
1451624420,0.533816667,36.14,0.62
1451624421,0.523633333,36.14,0.62
1451624422,0.57725,36.14,0.62
1451624423,0.679566667,36.14,0.62
1451624424,1.293166667,36.14,0.62
1451624425,1.546666667,36.14,0.62
1451624426,1.82235,36.14,0.62
1451624427,2.642516667,36.14,0.62
1451624428,1.73935,36.14,0.62
1451624429,1.1872,36.14,0.62
1451624430,1.19095,36.14,0.62
1451624431,0.833083333,36.14,0.62
1451624432,0.834283333,36.14,0.62
1451624433,0.840433333,36.14,0.62
1451624434,0.869733333,36.14,0.62
1451624435,0.853883333,36.14,0.62
1451624436,0.8491,36.14,0.62
1451624437,1.013333333,36.14,0.62
1451624438,1.3159,36.14,0.62
1451624439,1.654516667,36.14,0.62
1451624440,1.582083333,36.14,0.62
1451624441,1.440416667,36.14,0.62
1451624442,1.42185,36.14,0.62
1451624443,0.7322,36.14,0.62
1451624444,0.523216667,36.14,0.62
1451624445,0.50875,36.14,0.62
1451624446,0.613583333,36.14,0.62
1451624447,0.917666667,36.14,0.62
1451624448,0.9594,36.14,0.62
1451624449,0.918633333,36.14,0.62
1451624450,0.837,36.14,0.62
1451624451,0.494866667,36.14,0.62
1451624452,0.5872,36.14,0.62
1451624453,0.9307,36.14,0.62
1451624454,1.36085,36.14,0.62
1451624455,1.36195,36.14,0.62
1451624456,1.149316667,36.14,0.62
1451624457,1.032816667,36.14,0.62
1451624458,0.7142,35.87,0.61
1451624459,0.497066667,35.87,0.61
1451624460,0.465133333,35.87,0.61
1451624461,0.512933333,35.87,0.61
1451624462,0.651283333,35.87,0.61
1451624463,0.71045,35.87,0.61
1451624464,1.195683333,35.87,0.61
1451624465,1.184766667,35.87,0.61
1451624466,1.157433333,35.87,0.61
1451624467,0.815616667,35.87,0.61
1451624468,0.61905,35.87,0.61
1451624469,0.754166667,35.87,0.61
1451624470,1.042116667,35.87,0.61
1451624471,1.324533333,35.87,0.61
1451624472,1.359466667,35.87,0.61
1451624473,1.3133,35.87,0.61
1451624474,1.603183333,35.87,0.61
1451624475,1.208766667,35.87,0.61
1451624476,1.072566667,35.87,0.61
1451624477,1.0283,35.87,0.61
1451624478,1.025233333,35.87,0.61
1451624479,1.025866667,35.87,0.61
1451624480,1.095533333,35.87,0.61
1451624481,0.99885,35.87,0.61
1451624482,0.584066667,35.87,0.61
1451624483,0.568116667,35.87,0.61
1451624484,0.5922,35.87,0.61
1451624485,0.6984,35.87,0.61
1451624486,0.872033333,35.87,0.61
1451624487,1.318816667,35.87,0.61
1451624488,1.3866,35.87,0.61
1451624489,1.384583333,35.87,0.61
1451624490,1.2114,35.87,0.61
1451624491,1.07305,35.87,0.61
1451624492,0.891583333,35.87,0.61
1451624493,0.8999,35.87,0.61
1451624494,0.830633333,35.87,0.61
1451624495,0.572466667,35.87,0.61
1451624496,0.4222,35.87,0.61
1451624497,0.421366667,35.87,0.61
1451624498,0.4195,35.87,0.61
1451624499,0.506516667,35.87,0.61
1451624500,0.6223,35.87,0.61
1451624501,0.951366667,35.87,0.61
1451624502,0.981,35.87,0.61
1451624503,1.0481,35.87,0.61
1451624504,1.376433333,35.87,0.61
1451624505,1.616016667,35.87,0.61
1451624506,1.613416667,35.87,0.61
1451624507,1.573383333,35.87,0.61
1451624508,1.44585,35.87,0.61
1451624509,0.940916667,35.87,0.61
1451624510,0.418883333,35.87,0.61
1451624511,0.41945,35.87,0.61
1451624512,0.418216667,35.87,0.61
1451624513,0.4286,35.87,0.61
1451624514,0.43665,35.87,0.61
1451624515,0.443233333,35.87,0.61
1451624516,0.6316,35.4,0.61
1451624517,1.070016667,35.4,0.61
1451624518,1.01625,35.4,0.61
1451624519,0.820666667,35.4,0.61
1451624520,0.539166667,35.4,0.61
1451624521,0.564366667,35.4,0.61
1451624522,0.9612,35.4,0.61
1451624523,1.2237,35.4,0.61
1451624524,1.1087,35.4,0.61
1451624525,1.08495,35.4,0.61
1451624526,0.577566667,35.4,0.61
1451624527,0.426083333,35.4,0.61
1451624528,0.47175,35.4,0.61
1451624529,0.485883333,35.4,0.61
1451624530,0.735183333,35.4,0.61
1451624531,0.729083333,35.4,0.61
1451624532,0.461833333,35.4,0.61
1451624533,0.308316667,35.4,0.61
1451624534,0.36185,35.4,0.61
1451624535,0.483066667,35.4,0.61
1451624536,0.984616667,35.4,0.61
1451624537,1.101983333,35.4,0.61
1451624538,1.099116667,35.4,0.61
1451624539,1.094483333,35.4,0.61
1451624540,1.04615,35.4,0.61
1451624541,0.9656,35.4,0.61
1451624542,0.612366667,35.4,0.61
1451624543,0.5254,35.4,0.61
1451624544,0.5138,35.4,0.61
1451624545,0.472533333,35.4,0.61
1451624546,0.465566667,35.4,0.61
1451624547,0.46115,35.4,0.61
1451624548,0.459883333,35.4,0.61
1451624549,0.4605,35.4,0.61
1451624550,0.4947,35.4,0.61
1451624551,0.506783333,35.4,0.61
1451624552,0.542216667,35.4,0.61
1451624553,0.681333333,35.4,0.61
1451624554,1.034183333,35.4,0.61
1451624555,1.252466667,35.4,0.61
1451624556,1.217616667,35.4,0.61
1451624557,1.1169,35.4,0.61
1451624558,0.8278,35.4,0.61
1451624559,0.626066667,35.4,0.61
1451624560,0.625016667,35.4,0.61
1451624561,0.6246,35.4,0.61
1451624562,0.624066667,35.4,0.61
1451624563,0.6243,35.4,0.61
1451624564,0.624483333,35.4,0.61
1451624565,0.625983333,35.4,0.61
1451624566,0.650616667,35.4,0.61
1451624567,0.72445,35.4,0.61
1451624568,0.8065,35.4,0.61
1451624569,1.191433333,35.4,0.61
1451624570,1.102633333,35.4,0.61
1451624571,1.09835,35.4,0.61
1451624572,1.062483333,35.4,0.61
1451624573,0.964983333,35.4,0.61
1451624574,0.660283333,35.25,0.64
1451624575,0.35565,35.25,0.64
1451624576,0.356166667,35.25,0.64
1451624577,0.355433333,35.25,0.64
1451624578,0.353833333,35.25,0.64
1451624579,0.366983333,35.25,0.64
1451624580,0.380316667,35.25,0.64
1451624581,0.381716667,35.25,0.64
1451624582,0.385166667,35.25,0.64
1451624583,0.43125,35.25,0.64
1451624584,0.532833333,35.25,0.64
1451624585,0.707933333,35.25,0.64
1451624586,1.146783333,35.25,0.64
1451624587,1.146333333,35.25,0.64
1451624588,1.140816667,35.25,0.64
1451624589,1.104866667,35.25,0.64
1451624590,1.004516667,35.25,0.64
1451624591,0.69745,35.25,0.64
1451624592,0.400966667,35.25,0.64
1451624593,0.394983333,35.25,0.64
1451624594,0.578283333,35.25,0.64
1451624595,0.6243,35.25,0.64
1451624596,0.836433333,35.25,0.64
1451624597,0.81695,35.25,0.64
1451624598,0.795916667,35.25,0.64
1451624599,0.795116667,35.25,0.64
1451624600,0.856283333,35.25,0.64
1451624601,0.964266667,35.25,0.64
1451624602,1.3912,35.25,0.64
1451624603,1.524383333,35.25,0.64
1451624604,1.524333333,35.25,0.64
1451624605,1.531166667,35.25,0.64
1451624606,1.462716667,35.25,0.64
1451624607,1.407533333,35.25,0.64
1451624608,0.906033333,35.25,0.64
1451624609,0.8744,35.25,0.64
1451624610,0.833916667,35.25,0.64
1451624611,0.7824,35.25,0.64
1451624612,0.78235,35.25,0.64
1451624613,0.7877,35.25,0.64
1451624614,0.778933333,35.25,0.64
1451624615,0.78155,35.25,0.64
1451624616,0.846183333,35.25,0.64
1451624617,0.952133333,35.25,0.64
1451624618,1.001183333,35.25,0.64
1451624619,1.106666667,35.25,0.64
1451624620,1.596933333,35.25,0.64
1451624621,1.691383333,35.25,0.64
1451624622,1.680916667,35.25,0.64
1451624623,1.644783333,35.25,0.64
1451624624,1.54415,35.25,0.64
1451624625,1.239466667,35.25,0.64
1451624626,0.913333333,35.25,0.64
1451624627,0.910966667,35.25,0.64
1451624628,0.908183333,35.25,0.64
1451624629,0.9076,35.25,0.64
1451624630,0.907366667,35.25,0.64
1451624631,0.907916667,35.25,0.64
1451624632,0.905,35.49,0.64
1451624633,0.90525,35.49,0.64
1451624634,0.90375,35.49,0.64
1451624635,0.9048,35.49,0.64
1451624636,0.905016667,35.49,0.64
1451624637,0.9038,35.49,0.64
1451624638,0.965116667,35.49,0.64
1451624639,0.956766667,35.49,0.64
1451624640,0.940616667,35.49,0.64
1451624641,0.588783333,35.49,0.64
1451624642,0.6731,35.49,0.64
1451624643,0.80995,35.49,0.64
1451624644,1.28035,35.49,0.64
1451624645,1.2787,35.49,0.64
1451624646,1.155933333,35.49,0.64
1451624647,0.921866667,35.49,0.64
1451624648,0.452683333,35.49,0.64
1451624649,0.4272,35.49,0.64
1451624650,0.467016667,35.49,0.64
1451624651,0.455083333,35.49,0.64
1451624652,0.4309,35.49,0.64
1451624653,0.765533333,35.49,0.64
1451624654,0.714716667,35.49,0.64
1451624655,0.5928,35.49,0.64
1451624656,0.305833333,35.49,0.64
1451624657,0.304033333,35.49,0.64
1451624658,0.303583333,35.49,0.64
1451624659,0.30335,35.49,0.64
1451624660,0.304083333,35.49,0.64
1451624661,0.304816667,35.49,0.64
1451624662,0.382966667,35.49,0.64
1451624663,0.47145,35.49,0.64
1451624664,0.738883333,35.49,0.64
1451624665,1.5948,35.49,0.64
1451624666,1.618166667,35.49,0.64
1451624667,1.37305,35.49,0.64
1451624668,1.2517,35.49,0.64
1451624669,0.324166667,35.49,0.64
1451624670,0.305366667,35.49,0.64
1451624671,0.305516667,35.49,0.64
1451624672,0.304466667,35.49,0.64
1451624673,0.304933333,35.49,0.64
1451624674,0.3049,35.49,0.64
1451624675,0.373916667,35.49,0.64
1451624676,0.348683333,35.49,0.64
1451624677,0.4036,35.49,0.64
1451624678,0.582433333,35.49,0.64
1451624679,0.76795,35.49,0.64
1451624680,0.72395,35.49,0.64
1451624681,0.660783333,35.49,0.64
1451624682,0.344016667,35.49,0.64
1451624683,0.479716667,35.49,0.64
1451624684,0.7863,35.49,0.64
1451624685,1.070666667,35.49,0.64
1451624686,1.027233333,35.49,0.64
1451624687,0.919716667,35.49,0.64
1451624688,0.6415,35.49,0.64
1451624689,0.305633333,35.49,0.64
1451624690,0.38205,35.26,0.65
1451624691,0.348133333,35.26,0.65
1451624692,0.405833333,35.26,0.65
1451624693,0.649016667,35.26,0.65
1451624694,0.766933333,35.26,0.65
1451624695,0.788283333,35.26,0.65
1451624696,0.888083333,35.26,0.65
1451624697,0.7441,35.26,0.65
1451624698,0.460766667,35.26,0.65
